LOCATION,FreqNA.Oblq,FreqDAT,ALL,FreqNA.ALL,FreqDAT.ALL,LATITUDE,LONGITUDE,Location,Altitude,DIST_Bul,DIST_city
Balanovac,1,8,9,11.11111111,88.88888889,43.5899277,22.133674,60,327,25.81,7.04
Balinac,5,1,6,83.33333333,16.66666667,43.5646192,22.3557611,19,605,7.45,11.58
Balta Berilovac,0,5,5,0,100,43.395682,22.458715,52,419,9.85,27
Borovac,0,6,6,0,100,43.7382209,22.0093976,55,199,7.99,18.68
Crni Vrh,0,1,1,0,100,43.4024789,22.5246562,39,729,3.63,32.05
Donja Kamenica,4,1,5,80,20,43.4765163,22.284736,30,281,14.77,10.35
Drenovac,1,3,4,25,75,43.693333,22.271111,59,206,10.89,14.18
Drvnik,5,0,5,100,0,43.5380928,22.373743,10,597,7.92,11.96
Gabrovnica,1,0,1,100,0,43.4510139,22.3809402,40,376,9.47,19.77
Gornja Sokolovica,5,0,5,100,0,43.5208244,22.3176096,9,305,13.23,8.34
Gornje Zuni?e,0,1,1,0,100,43.6040111,22.2726774,24,235,16.43,4.13
Guševac,1,0,1,100,0,43.3907006,22.2558546,41,521,23.66,19.56
Jakovac,0,2,2,0,100,43.6396024,22.3007863,20,264,8.9,11.73
Jalovik Izvor,0,2,2,0,100,43.3885095,22.3518556,31,628,15.92,21.71
Janja,3,3,6,50,50,43.4110491,22.5156693,29,509,6.46,27.41
Kandalica,2,1,3,66.66666667,33.33333333,43.5448132,22.3091554,17,388,12.74,7.84
Knjaževac,0,7,7,0,100,43.5685949,22.2146125,61,234,19.23,0.01
Lepena,3,0,3,100,0,43.6440399,22.1964597,2,315,17.35,9.05
Leskovac,0,2,2,0,100,43.8124103,22.1721277,50,204,12.61,26.75
Mali Izvor,2,0,2,100,0,43.7367708,22.3332087,11,205,5.99,18.24
Marinovac,0,1,1,0,100,43.7289829,22.1742719,33,464,15,20
Mini?evo,1,1,2,50,50,43.6899103,22.2722911,32,194,9.25,13.66
Orešac,1,0,1,100,0,43.5227211,22.1744441,43,342,24.19,6.25
Petruša,1,0,1,100,0,43.6451933,22.3207421,44,243,7.59,12.56
Ponor,0,7,7,0,100,43.4981271,22.1893781,21,510,21.73,7.73
Pri?evac,0,1,1,0,100,43.4948949,22.3704814,38,471,10.48,12.82
Radi?evac,8,0,8,100,0,43.5878704,22.4054141,45,591,13.37,5.64
Rgošte,0,1,1,0,100,43.5421972,22.1922969,46,260,22.66,4.16
Sela?ka,1,8,9,11.11111111,88.88888889,43.7048679,22.31416,58,288,6.37,16.23
Šesti Gabar,1,2,3,33.33333333,66.66666667,43.4286652,22.3310848,14,678,15.43,18.51
Stara Kalna,1,4,5,20,80,43.4218071,22.3796648,47,403,14.94,20.72
Staro Korito,1,0,1,100,0,43.553737,22.3410441,54,423,10.86,8.98
Štipina,1,0,1,100,0,43.6044134,22.2263716,36,223,18.4,3.51
Trgovište,0,1,1,0,100,43.5559776,22.2689437,3,230,16.56,2.62
Trnovac,1,0,1,100,0,43.6778332,22.2371434,26,225,11.83,12.56
Vasilj,0,5,5,0,100,43.5656435,22.1043201,6,415,26.75,7.51
Vlahovo,1,3,4,25,75,43.4221232,22.2966871,28,568,17.39,17.1