ID	File	Case	Function	NounType	Gender	Number	Animacy	ReferenceToPersons
54	TOR_C_00024_tagged.txt	na-OBL	IO	COMMON	FEM	SG	INANIMATE	NO
225	TOR_C_0041_tagged.txt	na-OBL	IO	COMMON	FEM	SG	INANIMATE	NO
448	TOR_C_00034_tagged.txt	na-OBL	IO	COMMON	FEM	SG	INANIMATE	NO
52	TOR_C_0049_tagged.txt	na-OBL	IO	COMMON	NEUT	SG	INANIMATE	NO
335	TOR_C_0100_tagged.txt	na-OBL	IO	COMMON	NEUT	PL	INANIMATE	NO
162	TOR_C_00023_tagged.txt	na-OBL	IO	COMMON	MASC	SG	ANIMATE	NO
163	TOR_C_0059_tagged.txt	na-OBL	IO	COMMON	MASC	SG	ANIMATE	NO
9	TOR_C_00030_tagged.txt	na-OBL	IO	COMMON	FEM	SG	ANIMATE	NO
22	TOR_C_0050_tagged.txt	na-OBL	IO	COMMON	FEM	SG	ANIMATE	NO
168	TOR_C_0099_tagged.txt	na-OBL	IO	COMMON	FEM	SG	ANIMATE	NO
169	TOR_C_00029_tagged.txt	na-OBL	IO	COMMON	FEM	SG	ANIMATE	NO
170	TOR_C_0049_tagged.txt	na-OBL	IO	COMMON	FEM	SG	ANIMATE	NO
363	TOR_C_0008_tagged.txt	na-OBL	IO	COMMON	FEM	SG	ANIMATE	NO
364	TOR_C_0049_tagged.txt	na-OBL	IO	COMMON	FEM	SG	ANIMATE	NO
365	TOR_C_0099_tagged.txt	na-OBL	IO	COMMON	FEM	SG	ANIMATE	NO
366	TOR_C_00010_tagged.txt	na-OBL	IO	COMMON	FEM	SG	ANIMATE	NO
367	TOR_C_00024_tagged.txt	na-OBL	IO	COMMON	FEM	SG	ANIMATE	NO
368	TOR_C_0008_tagged.txt	na-OBL	IO	COMMON	FEM	SG	ANIMATE	NO
369	TOR_C_0090_tagged.txt	na-OBL	IO	COMMON	FEM	SG	ANIMATE	NO
370	TOR_C_0009_tagged.txt	na-OBL	IO	COMMON	FEM	SG	ANIMATE	NO
384	TOR_C_00016_tagged.txt	na-OBL	IO	COMMON	FEM	SG	ANIMATE	NO
387	TOR_C_0004_tagged.txt	na-OBL	IO	COMMON	FEM	SG	ANIMATE	NO
560	TOR_C_0037_tagged.txt	na-OBL	POSS	COMMON	FEM	SG	ANIMATE	NO
561	TOR_C_0037_tagged.txt	na-OBL	POSS	COMMON	FEM	SG	ANIMATE	NO
171	TOR_C_0001_tagged.txt	na-OBL	IO	COMMON	NEUT	SG	ANIMATE	NO
172	TOR_C_0070_tagged.txt	na-OBL	IO	COMMON	NEUT	SG	ANIMATE	NO
376	TOR_C_00016_tagged.txt	na-OBL	IO	COMMON	NEUT	SG	ANIMATE	NO
18	TOR_C_00018_tagged.txt	na-OBL	IO	COMMON	FEM	PL	ANIMATE	NO
21	TOR_C_00018_tagged.txt	na-OBL	IO	COMMON	FEM	PL	ANIMATE	NO
158	TOR_C_00024_tagged.txt	na-OBL	IO	COMMON	FEM	PL	ANIMATE	NO
164	TOR_C_00020_tagged.txt	na-OBL	IO	COMMON	FEM	PL	ANIMATE	NO
165	TOR_C_00030_tagged.txt	na-OBL	IO	COMMON	FEM	PL	ANIMATE	NO
166	TOR_C_0005_tagged.txt	na-OBL	IO	COMMON	FEM	PL	ANIMATE	NO
167	TOR_C_00024_tagged.txt	na-OBL	IO	COMMON	FEM	PL	ANIMATE	NO
301	TOR_C_0099_tagged.txt	na-OBL	IO	COMMON	FEM	PL	ANIMATE	NO
302	TOR_C_0049_tagged.txt	na-OBL	IO	COMMON	FEM	PL	ANIMATE	NO
303	TOR_C_0064_tagged.txt	na-OBL	IO	COMMON	FEM	PL	ANIMATE	NO
304	TOR_C_0008_tagged.txt	na-OBL	IO	COMMON	FEM	PL	ANIMATE	NO
305	TOR_C_00018_tagged.txt	na-OBL	IO	COMMON	FEM	PL	ANIMATE	NO
306	TOR_C_0064_tagged.txt	na-OBL	IO	COMMON	FEM	PL	ANIMATE	NO
410	TOR_C_0099_tagged.txt	na-OBL	IO	COMMON	FEM	PL	ANIMATE	NO
411	TOR_C_0079_tagged.txt	na-OBL	IO	COMMON	FEM	PL	ANIMATE	NO
412	TOR_C_0073_tagged.txt	na-OBL	IO	COMMON	FEM	PL	ANIMATE	NO
413	TOR_C_00024_tagged.txt	na-OBL	IO	COMMON	FEM	PL	ANIMATE	NO
414	TOR_C_0041_tagged.txt	na-OBL	IO	COMMON	FEM	PL	ANIMATE	NO
2838	TOR_C_0083_tagged.txt	DAT	IO	COMMON	MASC	SG	INANIMATE	NO
1	TOR_C_00028_tagged.txt	na-OBL	IO	PROPER	MASC	SG	ANIMATE	YES
36	TOR_C_0070_tagged.txt	na-OBL	IO	PROPER	MASC	SG	ANIMATE	YES
41	TOR_C_00019_tagged.txt	na-OBL	IO	PROPER	MASC	SG	ANIMATE	YES
42	TOR_C_00019_tagged.txt	na-OBL	IO	PROPER	MASC	SG	ANIMATE	YES
43	TOR_C_0061_tagged.txt	na-OBL	IO	PROPER	MASC	SG	ANIMATE	YES
44	TOR_C_00019_tagged.txt	na-OBL	IO	PROPER	MASC	SG	ANIMATE	YES
45	TOR_C_0075_tagged.txt	na-OBL	IO	PROPER	MASC	SG	ANIMATE	YES
65	TOR_C_0007_tagged.txt	na-OBL	IO	PROPER	MASC	SG	ANIMATE	YES
119	TOR_C_0066_tagged.txt	na-OBL	IO	PROPER	MASC	SG	ANIMATE	YES
123	TOR_C_00016_tagged.txt	na-OBL	IO	PROPER	MASC	SG	ANIMATE	YES
212	TOR_C_0077_tagged.txt	na-OBL	IO	PROPER	MASC	SG	ANIMATE	YES
213	TOR_C_0078_tagged.txt	na-OBL	IO	PROPER	MASC	SG	ANIMATE	YES
216	TOR_C_0038_tagged.txt	na-OBL	IO	PROPER	MASC	SG	ANIMATE	YES
219	TOR_C_0086_tagged.txt	na-OBL	IO	PROPER	MASC	SG	ANIMATE	YES
236	TOR_C_00023_tagged.txt	na-OBL	IO	PROPER	MASC	SG	ANIMATE	YES
266	TOR_C_0007_tagged.txt	na-OBL	IO	PROPER	MASC	SG	ANIMATE	YES
268	TOR_C_0067_tagged.txt	na-OBL	IO	PROPER	MASC	SG	ANIMATE	YES
316	TOR_C_0080_tagged.txt	na-OBL	IO	PROPER	MASC	SG	ANIMATE	YES
328	TOR_C_00025_tagged.txt	na-OBL	IO	PROPER	MASC	SG	ANIMATE	YES
329	TOR_C_0046_tagged.txt	na-OBL	IO	PROPER	MASC	SG	ANIMATE	YES
330	TOR_C_00019_tagged.txt	na-OBL	IO	PROPER	MASC	SG	ANIMATE	YES
346	TOR_C_0045_tagged.txt	na-OBL	IO	PROPER	MASC	SG	ANIMATE	YES
462	TOR_C_0045_tagged.txt	na-OBL	IO	PROPER	MASC	SG	ANIMATE	YES
469	TOR_C_0050_tagged.txt	na-OBL	IO	PROPER	MASC	SG	ANIMATE	YES
482	TOR_C_0041_tagged.txt	na-OBL	POSS	PROPER	MASC	SG	ANIMATE	YES
521	TOR_C_00023_tagged.txt	na-OBL	POSS	PROPER	MASC	SG	ANIMATE	YES
522	TOR_C_00023_tagged.txt	na-OBL	POSS	PROPER	MASC	SG	ANIMATE	YES
539	TOR_C_0004_tagged.txt	na-OBL	POSS	PROPER	MASC	SG	ANIMATE	YES
540	TOR_C_0083_tagged.txt	na-OBL	POSS	PROPER	MASC	SG	ANIMATE	YES
541	TOR_C_0006_tagged.txt	na-OBL	POSS	PROPER	MASC	SG	ANIMATE	YES
544	TOR_C_00019_tagged.txt	na-OBL	POSS	PROPER	MASC	SG	ANIMATE	YES
545	TOR_C_00019_tagged.txt	na-OBL	POSS	PROPER	MASC	SG	ANIMATE	YES
551	TOR_C_0070_tagged.txt	na-OBL	POSS	PROPER	MASC	SG	ANIMATE	YES
553	TOR_C_00023_tagged.txt	na-OBL	POSS	PROPER	MASC	SG	ANIMATE	YES
554	TOR_C_00023_tagged.txt	na-OBL	POSS	PROPER	MASC	SG	ANIMATE	YES
556	TOR_C_0007_tagged.txt	na-OBL	POSS	PROPER	MASC	SG	ANIMATE	YES
557	TOR_C_0045_tagged.txt	na-OBL	POSS	PROPER	MASC	SG	ANIMATE	YES
558	TOR_C_0045_tagged.txt	na-OBL	POSS	PROPER	MASC	SG	ANIMATE	YES
583	TOR_C_0058_tagged.txt	na-OBL	POSS	PROPER	MASC	SG	ANIMATE	YES
584	TOR_C_0069_tagged.txt	na-OBL	POSS	PROPER	MASC	SG	ANIMATE	YES
586	TOR_C_0038_tagged.txt	na-OBL	POSS	PROPER	MASC	SG	ANIMATE	YES
589	TOR_C_0058_tagged.txt	na-OBL	POSS	PROPER	MASC	SG	ANIMATE	YES
590	TOR_C_0073_tagged.txt	na-OBL	POSS	PROPER	MASC	SG	ANIMATE	YES
668	TOR_C_0002_tagged.txt	na-OBL	POSS	PROPER	MASC	SG	ANIMATE	YES
671	TOR_C_0045_tagged.txt	na-OBL	POSS	PROPER	MASC	SG	ANIMATE	YES
690	TOR_C_0041_tagged.txt	na-OBL	POSS	PROPER	MASC	SG	ANIMATE	YES
691	TOR_C_0073_tagged.txt	na-OBL	POSS	PROPER	MASC	SG	ANIMATE	YES
692	TOR_C_0006_tagged.txt	na-OBL	POSS	PROPER	MASC	SG	ANIMATE	YES
693	TOR_C_0006_tagged.txt	na-OBL	POSS	PROPER	MASC	SG	ANIMATE	YES
708	TOR_C_0041_tagged.txt	na-OBL	POSS	PROPER	MASC	SG	ANIMATE	YES
709	TOR_C_0041_tagged.txt	na-OBL	POSS	PROPER	MASC	SG	ANIMATE	YES
711	TOR_C_0058_tagged.txt	na-OBL	POSS	PROPER	MASC	SG	ANIMATE	YES
712	TOR_C_0058_tagged.txt	na-OBL	POSS	PROPER	MASC	SG	ANIMATE	YES
713	TOR_C_0058_tagged.txt	na-OBL	POSS	PROPER	MASC	SG	ANIMATE	YES
726	TOR_C_0009_tagged.txt	na-OBL	POSS	PROPER	MASC	SG	ANIMATE	YES
753	TOR_C_0045_tagged.txt	na-OBL	POSS	PROPER	MASC	SG	ANIMATE	YES
754	TOR_C_0045_tagged.txt	na-OBL	POSS	PROPER	MASC	SG	ANIMATE	YES
755	TOR_C_0069_tagged.txt	na-OBL	POSS	PROPER	MASC	SG	ANIMATE	YES
763	TOR_C_00020_tagged.txt	na-OBL	POSS	PROPER	MASC	SG	ANIMATE	YES
15	TOR_C_0055_tagged.txt	na-OBL	IO	COMMON	MASC	SG	ANIMATE	YES
16	TOR_C_00024_tagged.txt	na-OBL	IO	COMMON	MASC	SG	ANIMATE	YES
25	TOR_C_0079_tagged.txt	na-OBL	IO	COMMON	MASC	SG	ANIMATE	YES
46	TOR_C_0041_tagged.txt	na-OBL	IO	COMMON	MASC	SG	ANIMATE	YES
47	TOR_C_0080_tagged.txt	na-OBL	IO	COMMON	MASC	SG	ANIMATE	YES
48	TOR_C_0041_tagged.txt	na-OBL	IO	COMMON	MASC	SG	ANIMATE	YES
59	TOR_C_00030_tagged.txt	na-OBL	IO	COMMON	MASC	SG	ANIMATE	YES
60	TOR_C_0047_tagged.txt	na-OBL	IO	COMMON	MASC	SG	ANIMATE	YES
116	TOR_C_0080_tagged.txt	na-OBL	IO	COMMON	MASC	SG	ANIMATE	YES
117	TOR_C_0061_tagged.txt	na-OBL	IO	COMMON	MASC	SG	ANIMATE	YES
121	TOR_C_0006_tagged.txt	na-OBL	IO	COMMON	MASC	SG	ANIMATE	YES
173	TOR_C_00029_tagged.txt	na-OBL	IO	COMMON	MASC	SG	ANIMATE	YES
174	TOR_C_0041_tagged.txt	na-OBL	IO	COMMON	MASC	SG	ANIMATE	YES
175	TOR_C_0005_tagged.txt	na-OBL	IO	COMMON	MASC	SG	ANIMATE	YES
176	TOR_C_0083_tagged.txt	na-OBL	IO	COMMON	MASC	SG	ANIMATE	YES
177	TOR_C_0069_tagged.txt	na-OBL	IO	COMMON	MASC	SG	ANIMATE	YES
178	TOR_C_0064_tagged.txt	na-OBL	IO	COMMON	MASC	SG	ANIMATE	YES
179	TOR_C_0083_tagged.txt	na-OBL	IO	COMMON	MASC	SG	ANIMATE	YES
224	TOR_C_00024_tagged.txt	na-OBL	IO	COMMON	MASC	SG	ANIMATE	YES
227	TOR_C_0062_tagged.txt	na-OBL	IO	COMMON	MASC	SG	ANIMATE	YES
234	TOR_C_0007_tagged.txt	na-OBL	IO	COMMON	MASC	SG	ANIMATE	YES
252	TOR_C_0051_tagged.txt	na-OBL	IO	COMMON	MASC	SG	ANIMATE	YES
253	TOR_C_00024_tagged.txt	na-OBL	IO	COMMON	MASC	SG	ANIMATE	YES
254	TOR_C_00016_tagged.txt	na-OBL	IO	COMMON	MASC	SG	ANIMATE	YES
256	TOR_C_0051_tagged.txt	na-OBL	IO	COMMON	MASC	SG	ANIMATE	YES
264	TOR_C_0066_tagged.txt	na-OBL	IO	COMMON	MASC	SG	ANIMATE	YES
294	TOR_C_00023_tagged.txt	na-OBL	IO	COMMON	MASC	SG	ANIMATE	YES
327	TOR_C_0053_tagged.txt	na-OBL	IO	COMMON	MASC	SG	ANIMATE	YES
336	TOR_C_0041_tagged.txt	na-OBL	IO	COMMON	MASC	SG	ANIMATE	YES
337	TOR_C_0066_tagged.txt	na-OBL	IO	COMMON	MASC	SG	ANIMATE	YES
338	TOR_C_00024_tagged.txt	na-OBL	IO	COMMON	MASC	SG	ANIMATE	YES
339	TOR_C_0083_tagged.txt	na-OBL	IO	COMMON	MASC	SG	ANIMATE	YES
340	TOR_C_00024_tagged.txt	na-OBL	IO	COMMON	MASC	SG	ANIMATE	YES
341	TOR_C_00024_tagged.txt	na-OBL	IO	COMMON	MASC	SG	ANIMATE	YES
342	TOR_C_00024_tagged.txt	na-OBL	IO	COMMON	MASC	SG	ANIMATE	YES
360	TOR_C_0083_tagged.txt	na-OBL	IO	COMMON	MASC	SG	ANIMATE	YES
389	TOR_C_00010_tagged.txt	na-OBL	IO	COMMON	MASC	SG	ANIMATE	YES
396	TOR_C_0070_tagged.txt	na-OBL	IO	COMMON	MASC	SG	ANIMATE	YES
415	TOR_C_0080_tagged.txt	na-OBL	IO	COMMON	MASC	SG	ANIMATE	YES
425	TOR_C_0002_tagged.txt	na-OBL	IO	COMMON	MASC	SG	ANIMATE	YES
427	TOR_C_0056_tagged.txt	na-OBL	IO	COMMON	MASC	SG	ANIMATE	YES
429	TOR_C_00023_tagged.txt	na-OBL	IO	COMMON	MASC	SG	ANIMATE	YES
431	TOR_C_00010_tagged.txt	na-OBL	IO	COMMON	MASC	SG	ANIMATE	YES
433	TOR_C_0040_tagged.txt	na-OBL	IO	COMMON	MASC	SG	ANIMATE	YES
436	TOR_C_0056_tagged.txt	na-OBL	IO	COMMON	MASC	SG	ANIMATE	YES
450	TOR_C_0049_tagged.txt	na-OBL	IO	COMMON	MASC	SG	ANIMATE	YES
451	TOR_C_0046_tagged.txt	na-OBL	IO	COMMON	MASC	SG	ANIMATE	YES
452	TOR_C_00030_tagged.txt	na-OBL	IO	COMMON	MASC	SG	ANIMATE	YES
453	TOR_C_00024_tagged.txt	na-OBL	IO	COMMON	MASC	SG	ANIMATE	YES
464	TOR_C_0051_tagged.txt	na-OBL	IO	COMMON	MASC	SG	ANIMATE	YES
468	TOR_C_0101_tagged.txt	na-OBL	IO	COMMON	MASC	SG	ANIMATE	YES
487	TOR_C_0041_tagged.txt	na-OBL	POSS	COMMON	MASC	SG	ANIMATE	YES
489	TOR_C_0041_tagged.txt	na-OBL	POSS	COMMON	MASC	SG	ANIMATE	YES
500	TOR_C_0037_tagged.txt	na-OBL	POSS	COMMON	MASC	SG	ANIMATE	YES
502	TOR_C_00015_tagged.txt	na-OBL	POSS	COMMON	MASC	SG	ANIMATE	YES
503	TOR_C_0049_tagged.txt	na-OBL	POSS	COMMON	MASC	SG	ANIMATE	YES
518	TOR_C_0076_tagged.txt	na-OBL	POSS	COMMON	MASC	SG	ANIMATE	YES
519	TOR_C_0003_tagged.txt	na-OBL	POSS	COMMON	MASC	SG	ANIMATE	YES
520	TOR_C_0037_tagged.txt	na-OBL	POSS	COMMON	MASC	SG	ANIMATE	YES
536	TOR_C_00029_tagged.txt	na-OBL	POSS	COMMON	MASC	SG	ANIMATE	YES
537	TOR_C_00016_tagged.txt	na-OBL	POSS	COMMON	MASC	SG	ANIMATE	YES
543	TOR_C_0037_tagged.txt	na-OBL	POSS	COMMON	MASC	SG	ANIMATE	YES
597	TOR_C_0041_tagged.txt	na-OBL	POSS	COMMON	MASC	SG	ANIMATE	YES
605	TOR_C_00020_tagged.txt	na-OBL	POSS	COMMON	MASC	SG	ANIMATE	YES
608	TOR_C_0089_tagged.txt	na-OBL	POSS	COMMON	MASC	SG	ANIMATE	YES
610	TOR_C_0052_tagged.txt	na-OBL	POSS	COMMON	MASC	SG	ANIMATE	YES
612	TOR_C_0061_tagged.txt	na-OBL	POSS	COMMON	MASC	SG	ANIMATE	YES
616	TOR_C_0061_tagged.txt	na-OBL	POSS	COMMON	MASC	SG	ANIMATE	YES
618	TOR_C_00013_tagged.txt	na-OBL	POSS	COMMON	MASC	SG	ANIMATE	YES
620	TOR_C_00023_tagged.txt	na-OBL	POSS	COMMON	MASC	SG	ANIMATE	YES
622	TOR_C_0083_tagged.txt	na-OBL	POSS	COMMON	MASC	SG	ANIMATE	YES
624	TOR_C_0086_tagged.txt	na-OBL	POSS	COMMON	MASC	SG	ANIMATE	YES
643	TOR_C_0076_tagged.txt	na-OBL	POSS	COMMON	MASC	SG	ANIMATE	YES
644	TOR_C_0069_tagged.txt	na-OBL	POSS	COMMON	MASC	SG	ANIMATE	YES
645	TOR_C_0041_tagged.txt	na-OBL	POSS	COMMON	MASC	SG	ANIMATE	YES
